username,score,at,content,thumbsupcount,has_pembayaran,has_driver,has_aplikasi,has_harga,has_layanan,has_order,has_waktu,has_lokasi,has_komunikasi,has_umum,clean_text,label
Yoga Prtma,1,2025-10-17 16:48:00,kebanyakan driver nya suka lawan arah membahayakan penumpang dan orang lain dan waktu penjemputan lama kebanyakan tanya jga dan kebanyakan suka ugal lan di jalan,0,0,1,0,0,0,0,1,1,0,1,kebanyakan driver nya suka lawan arah membahayakan penumpang orang penjemputan kebanyakan jga kebanyakan suka ugal lan jalan,puas
Christina Ball,1,2025-10-17 15:35:20,aplikasi sampah daftar aja kagak dikirim2 kode otp nya bahkan pakai nomor berbeda tetap sama,0,0,0,0,1,0,0,0,0,0,0,aplikasi sampah daftar aja kagak dikirim kode otp nya pakai nomor berbeda,netral
Ike Cibby,1,2025-10-17 15:34:39,min driver mu ada yg gak sopan kurang ajar dalam berbahasa alamat udah jelas masih ditanya muluk sampai ketinggalan speedboat dan alhasil tiket hangus senilai 400rb udah gitu di cancel trus pencarian driver baru lagi eh dia lagi yg muncul baru kali ini dapat driver yg gak sopan bahasanya ngatain customer sudah gila kau aku loh malah biasanya kalo dikota lain pakai grab selalu ngasih fee ini malah dikatain,0,0,1,0,0,1,0,0,0,0,0,min driver mu yg gak sopan ajar berbahasa alamat udah muluk ketinggalan speedboat alhasil tiket hangus senilai rb udah gitu cancel trus pencarian driver eh yg muncul kali driver yg gak sopan bahasanya ngatain customer gila kau loh kalo dikota pakai grab ngasih fee dikatain,netral
Ronal Jebarut,5,2025-10-17 15:06:52,sangat bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Ajis Supriyanto,1,2025-10-17 14:34:12,kenapa saya tidak bisa memesan taxdrever,0,0,0,1,0,0,0,0,0,0,0,memesan taxdrever,netral
Arip Menjangan,1,2025-10-17 14:09:49,ini aplikasi gimana sih masa setiap mau pesan ojek harus hapus download hapus download tolong dong perbaiki,0,0,1,0,0,0,1,0,0,1,0,aplikasi gimana sih pesan ojek hapus download hapus download tolong perbaiki,netral
Randy Zanjayi,5,2025-10-17 13:11:49,sanga mudah digunakan,0,0,0,0,0,0,0,0,0,0,0,sanga mudah,netral
Eka Eka,3,2025-10-17 12:34:34,cukup membantu,0,0,0,0,0,0,0,0,0,0,0,membantu,netral
Reguel Marbun,1,2025-10-17 11:16:52,mana anjg saldo kaspro nya dh aku isi juga tapi di maxim tetap gk terisi,0,1,0,0,0,0,0,0,0,0,0,anjg saldo kaspro nya dh isi maxim gk terisi,netral
Minecraft FaDan,3,2025-10-17 11:16:16,aku dah pilih pembayaran lewat akun tapi otomatis keganti sama cash padahal aku dah ada diskon di akun ku,0,1,0,0,1,0,0,0,0,0,0,dah pilih pembayaran akun otomatis keganti cash dah diskon akun ku,netral
firdaus intisel,1,2025-10-17 11:10:59,baru kali ini kecewa sama maxim driver nya ga beres udh lama nunggu malah dilewatin aja bukan nya stop atau nelpon anak istri gw nungguin ga bisa pulang gara2 hujan,0,0,1,0,0,0,0,1,0,0,1,kali kecewa maxim driver nya ga beres udh nunggu dilewatin aja nya stop nelpon anak istri gw nungguin ga pulang gara hujan,tidak puas
Ratu Gressia,1,2025-10-17 10:48:39,pengemudi nya banyak tingkah kalau hujan tidak mau menerima orderan padahal pesennya yang mobil udah kayak orang gak butuh duit,0,1,1,0,0,0,0,0,0,0,0,pengemudi nya tingkah hujan menerima orderan pesennya mobil udah kayak orang gak butuh duit,netral
agus harianto,5,2025-10-17 10:31:13,keren,0,0,0,0,0,0,0,0,0,0,0,keren,netral
Juribah Jibah,5,2025-10-17 09:23:29,iya suka,0,0,0,0,0,0,0,0,0,0,1,iya suka,puas
Nazril Ilham,1,2025-10-17 07:38:04,aplikasi paling tolol sedunia,0,0,0,0,0,0,0,0,0,0,0,aplikasi tolol sedunia,netral
Seh Ahmad,1,2025-10-17 07:31:09,top up jelek babi,0,0,0,0,0,0,0,0,0,0,1,top up jelek babi,tidak puas
Yulia Rekasari,2,2025-10-17 07:26:43,setiap isi ewalet kaspro lama banget masuk ny truss driver ny jg kebanyak an ugal2 an gak profesional smg lebih baik maxim,0,1,1,0,0,0,0,1,0,0,0,isi ewalet kaspro banget masuk ny truss driver ny jg kebanyak an ugal an gak profesional smg maxim,netral
Satia nalasti,1,2025-10-17 07:22:07,maxim tolong pelayanan driver ny buruk saya barusan mau d leceh kn driver maxim saya sangat trauma saya minata pertanggungjawaban pihak maxim sya udh lapor d apk maxim namun gk asa jawaban,0,0,1,0,0,0,0,0,0,0,1,maxim tolong pelayanan driver ny buruk barusan d leceh kn driver maxim trauma minata pertanggungjawaban maxim sya udh lapor d apk maxim gk asa,tidak puas
Xulovva Tien,1,2025-10-17 06:08:20,sangat kecewa dengan tim driver maxim layanan etika driver gojek sangat layak diberikan jempol kemaren saya menggunakan maxim lalu saya komplen di aplikasi karena driver mengemudi sambil merokok seharusnya dia sadar dan beretika dalam bekerja atau setidaknya peka saat konsumen merasa tidak nyaman asap rokoknya sangat banyak menggumpal ke wajah saya tiap perjalanan membuat saya tidak nyaman dan sering menahan nafas pagi ini driver tersebut melabrak saya tidak terima atas komplen saya,2,0,1,0,0,1,0,0,0,0,1,kecewa tim driver maxim layanan etika driver gojek layak jempol kemaren maxim komplen aplikasi driver mengemudi merokok sadar beretika peka konsumen nyaman asap rokoknya menggumpal wajah perjalanan nyaman menahan nafas pagi driver melabrak terima komplen,tidak puas
Muhammad Wahyu,1,2025-10-17 06:04:53,maaf seblom nya ini saya termaksud pengguna akun drive maxsim juga mohon klau ketgasan nya mau di sama kan ada skck sim sama stnk gini kita sering kali dapat orderan seperti food orderan fiktif kadang kita udah di beli nmor nya aktif pas udah di beli tinggal antar eh malah di kensel itu kebijakan nya seperti apa setidak nya ada ketegasan pengembalian atau ganti rugi itu nama nya merugikan driver pantas banyak orang lari drive maxim lari ke gojek atau pun ke grab karna mereka bisa menjamin,0,1,1,0,0,0,1,0,1,0,0,maaf seblom nya termaksud pengguna akun drive maxsim mohon klau ketgasan nya skck sim stnk gini kali orderan food orderan fiktif kadang udah beli nmor nya aktif pas udah beli tinggal eh kensel kebijakan nya setidak nya ketegasan pengembalian ganti rugi nama nya merugikan driver orang lari drive maxim lari gojek grab karna menjamin,netral
Rian Maulana,5,2025-10-17 05:57:52,top,0,0,0,0,0,0,0,0,0,0,1,top,netral
Sajarah Sajarah,4,2025-10-17 05:50:10,selalu lama kadang udah diterima tiba driver nya batalin,0,0,1,0,0,0,0,1,0,0,0,kadang udah diterima driver nya batalin,netral
Chrisna Murthry,2,2025-10-17 05:39:31,min kan aku dapat voucher atau apa yang 200 000 kok gak di bayar semua malah bayar setengah ke driver kecewa,0,1,1,0,1,0,0,0,0,0,1,min voucher gak bayar bayar driver kecewa,tidak puas
The Queen,2,2025-10-17 05:34:18,bagus cuman untuk pembelian merchant atau brg rata2 mereka enggk ada uang,0,1,0,0,0,0,0,0,0,0,1,bagus cuman pembelian merchant brg enggk uang,puas
Satria S Dg Situju,5,2025-10-17 05:03:39,ok baik,0,0,0,0,0,0,0,0,0,0,1,ok,netral
Aisah Alijaya,2,2025-10-17 04:47:38,driver ngasih estimasi waktu 2 menit pas datang rata rata 10 menit mana kendaraan gak tuh yg bagus,0,0,1,0,0,0,0,0,0,0,1,driver ngasih estimasi menit pas menit kendaraan gak tuh yg bagus,puas
Ester Kumajas,4,2025-10-17 04:11:33,kedua kalinya download apk ini mudah2n maxim yg skg ga kayak yg dulu,0,0,0,0,0,0,0,0,0,0,0,kalinya download apk mudahn maxim yg skg ga kayak yg,netral
adi jhons,1,2025-10-17 03:33:22,isi caspro kok lambat ga masuk masuk,2,0,1,0,0,0,0,0,0,0,0,isi caspro lambat ga masuk masuk,tidak puas
Atiriani Waruwu,5,2025-10-17 03:27:29,keren,0,0,0,0,0,0,0,0,0,0,0,keren,netral
Paulus Ganteng,1,2025-10-17 02:40:17,percuma drivermu prioritas tapi banyak aneh aneh heran sama akun maxim ini isi nya orang pilih,0,0,0,0,0,0,0,0,0,0,0,drivermu prioritas aneh aneh heran akun maxim isi nya orang pilih,netral
Ayunda intan Aryani,1,2025-10-17 01:43:04,buat maxim klo pilih driver itu di seleksi lagi ya saya sering pesan maxim drivernya kaya preman rata ada driver yg tidak pake helm ada driver yg sambil nganter customer dengarin musik lewat headset tidak pake jaket tolong diseleksi baik ya,0,0,1,0,0,0,1,0,0,1,0,maxim klo pilih driver seleksi ya pesan maxim drivernya kaya preman driver yg pake helm driver yg nganter customer dengarin musik headset pake jaket tolong diseleksi ya,netral
Hasbi Syukri,5,2025-10-17 01:38:19,good,0,0,0,0,0,0,0,0,0,0,0,good,netral
Nur Syamsiyah,1,2025-10-17 00:53:03,saya dua kali coba isi saldo maxim kaspro kenapa tidak ada yang masuk saldonya mohon ditindak lanjuti saya benar benar kecewa saldo saya tidak ada yang masuk,0,1,0,0,0,0,0,0,0,0,1,kali coba isi saldo maxim kaspro masuk saldonya mohon ditindak lanjuti kecewa saldo masuk,tidak puas
Kholil sanjaya,5,2025-10-17 00:29:51,,0,0,0,0,0,0,0,0,0,0,0,,netral
髮Kιʏoтᴀκᴀ. (Kaze),3,2025-10-17 00:21:58,plss adain fitur krim foto,0,0,0,1,0,0,0,0,0,0,0,plss adain fitur krim foto,netral
zehan alazzikra,1,2025-10-17 00:15:30,kode busuk,0,0,0,0,1,0,0,0,0,0,0,kode busuk,netral
Rahmat Hidayad Lubis,2,2025-10-16 23:38:37,tolong dong yang jelas bikin aplikasi,0,0,0,0,0,0,0,0,0,0,0,tolong bikin aplikasi,netral
Amelia Syifa Fauziah,1,2025-10-16 23:30:11,aplikasi sampah banyak penipuan,0,0,0,0,0,0,0,0,0,0,0,aplikasi sampah penipuan,netral
Rahman Abd,5,2025-10-16 23:18:53,mantap,0,0,0,0,0,0,0,0,0,0,1,mantap,puas
Hairu Lloh,4,2025-10-16 22:52:28,bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Hasan,5,2025-10-16 22:42:48,thks maxim jasamu sangat berharga,0,0,0,0,0,0,0,0,0,0,0,thks maxim jasamu berharga,netral
Idris Venus,1,2025-10-16 21:20:28,konyol mau order minta kode rtp mele,0,0,0,0,1,0,1,0,0,0,0,konyol order kode rtp mele,netral
Dede Imut,4,2025-10-16 19:55:55,ko tidak bisa mendotar kan ya,0,0,0,1,0,0,0,0,0,0,0,ko mendotar ya,netral
Angel Audilia putri,1,2025-10-16 14:58:05,kalau hujan supirnya kayak taiikkk semua gak ada yang mau padahal sini bayar gak numpang,0,1,0,0,0,0,0,0,0,0,0,hujan supirnya kayak taiikkk gak bayar gak numpang,netral
Nadia,1,2025-10-16 14:36:56,banyak kang ojek nya mines atitud mines akhlak dn gk tanggung jawab padahal kang ojek doang mandang fisik udh kyk dia ganteng aj,0,0,1,0,0,0,0,0,0,0,0,kang ojek nya mines atitud mines akhlak dn gk tanggung kang ojek doang mandang fisik udh kyk ganteng aj,netral
Almira Riska,1,2025-10-16 14:06:27,jelek banget kendaraan nya gila mabok ac gw memey puki banget astaga fukkc,0,0,0,0,0,0,0,0,0,0,1,jelek banget kendaraan nya gila mabok ac gw memey puki banget astaga fukkc,tidak puas
Yuka Nuriah Arinta,3,2025-10-16 12:10:01,ini udh pake 6 nomor 3 hp gabisa keluar otp nya tolong perbaiki dong butuh bgt ini buat kemana2 dulu ga gini deh maxim,0,0,0,0,0,0,0,0,0,0,0,udh pake nomor hp gabisa otp nya tolong perbaiki butuh bgt kemana ga gini deh maxim,netral
skyal Mondy,1,2025-10-16 12:04:14,bayak penipuan,0,0,0,0,0,0,0,0,0,0,0,bayak penipuan,netral
Gaskan Saja,1,2025-10-16 11:14:50,ini aplikasi nya tambah buruk terlambat kerja gara tunggu pesan ojek motornya padahal di tikungan dekat rumah banyak ojek maxim nya malah di kasi ojek maxim yg jauh,0,0,1,0,0,0,1,1,0,1,1,aplikasi nya buruk terlambat kerja gara tunggu pesan ojek motornya tikungan rumah ojek maxim nya kasi ojek maxim yg,tidak puas
Agung Supriatna,1,2025-10-16 11:13:00,maps kurang banyak dan akurat kota juga kurang banyak,0,0,0,1,0,0,0,0,1,0,0,maps akurat kota,netral
Inggit Anggraini,1,2025-10-16 10:50:15,saya kasih 1 ratingnya tolong di tinjau lagi sikap dan perilaku driver yaa jgn belaguuu kalo cape jadi driver gak usah kerja tidur aja dirumah yg namanya kerja semuaaa capee bang kalo gak mau capee tidur aja dirmh jgn kerja masa saya belum sampe diturunin dipinggir jalan drivernya maunya sesuai titik tapi kadang titik dari maxim nya aja gak sesuai titik saya cuma beda berapa meter aja gak mau anter drivernya najissss dilatih lagi deh ya maxim biar performa nya gak turun modelan driver maless,0,0,1,0,1,0,0,0,1,0,0,kasih ratingnya tolong tinjau sikap perilaku driver yaa jgn belaguuu kalo cape driver gak kerja tidur aja dirumah yg namanya kerja semuaaa capee bang kalo gak capee tidur aja dirmh jgn kerja sampe diturunin dipinggir jalan drivernya maunya sesuai titik kadang titik maxim nya aja gak sesuai titik beda meter aja gak anter drivernya najissss dilatih deh ya maxim biar performa nya gak turun modelan driver maless,netral
Ngatini,1,2025-10-16 10:40:24,apasi oon bgt masa login ke apknya gadapet kodenya sama sekali padahal nomornya sudah sesuai,0,0,0,1,0,0,0,0,0,0,0,apasi oon bgt login apknya gadapet kodenya nomornya sesuai,netral
Rafa Rizqulloh,1,2025-10-16 10:31:40,ui nya kurang menarik di kasih saldo 200k gk bisa di pake 100,0,1,0,0,0,0,0,0,0,0,0,ui nya menarik kasih saldo k gk pake,netral
naira putri,1,2025-10-16 09:36:09,saya dapet driver yang bener bener gajelas dia marahin saya karena saya lagi nuker uang 100rb driver ini bener bener gasopan sama saya dia ngedumel ke saya marahin terus pergi kabur apa hak driver maxim ini marahin sayaa saya costumer saya bayar tidak gratis tpi bisa bisa mya si driver ini semacam saya numpang saya dikatain gausa sekolah karena memang saya masih sekolah sma memang rata rata driver maxim yang saya temui itu memang agak kurang sreg dihati saya maxim ini tu gimana,0,1,1,0,0,0,0,0,0,0,0,dapet driver bener bener gajelas marahin nuker uang rb driver bener bener gasopan ngedumel marahin pergi kabur hak driver maxim marahin sayaa costumer bayar gratis tpi mya si driver numpang dikatain gausa sekolah sekolah sma driver maxim temui sreg dihati maxim tu gimana,netral
prabu indra Lesmana,1,2025-10-16 09:21:20,ga jelas cs ga ramah,0,0,0,0,0,1,0,0,0,0,0,ga cs ga ramah,netral
andra tnunay01,5,2025-10-16 08:59:13,kalau bisa dari kantor maxim menyediakan persewaan motor listrik juga seperti ojek online lainnya,0,0,1,0,0,0,0,0,0,0,0,kantor maxim menyediakan persewaan motor listrik ojek online,netral
Ikbal Aditia Maulana,5,2025-10-16 08:54:33,aku suka aplikasi maxim ojek transportasi by pt sito,0,0,1,0,0,0,0,0,0,0,1,suka aplikasi maxim ojek transportasi by pt sito,puas
Nino Raffie,5,2025-10-16 08:45:48,kok susah kali sih cari orderan di sini mau pesan kok ga ada yg terima,0,0,0,0,0,0,1,0,0,1,0,susah kali sih cari orderan pesan ga yg terima,tidak puas
Netty Spd,5,2025-10-16 08:34:12,aku aplikasi maxim ojek transportasi by pt sito,0,0,1,0,0,0,0,0,0,0,0,aplikasi maxim ojek transportasi by pt sito,netral
AweL 999,5,2025-10-16 08:17:47,ongkos murah dan aman di perjalanan,0,0,0,0,1,1,0,0,0,0,0,ongkos murah aman perjalanan,puas
Indra Jaya,1,2025-10-16 07:51:36,aplikasi bikin pusing susah nyari titik di maps,0,0,0,1,0,0,0,0,1,0,0,aplikasi bikin pusing susah nyari titik maps,tidak puas
Ricki Vickris,1,2025-10-16 07:15:28,maxim mobil delevery tapi parkir persis didepan toko kita aja gak mau ini maxim dibangka belitung pangkalpinang bukannya bantu konsumen angkat barang ke mobil malah kita disuruh sendri angkatnya sangat tidak ramah,0,0,0,0,0,1,0,0,0,0,0,maxim mobil delevery parkir persis didepan toko aja gak maxim dibangka belitung pangkalpinang bantu konsumen angkat barang mobil disuruh sendri angkatnya ramah,netral
nuri Maulida Hasanah,1,2025-10-16 06:50:18,saya sangat kecewa dengan maxim tadi disekolah maxim datang ke sekolah bagi saldo maxim saat saya pulang sekolah saya menggunakan maxim dan menggunakan saldo yang tadi saya dapat namun saat saya sampe tempat tujuan saya diminta uang padahal saya udah ganti pembayaran menggunakan saldo yang tadi didapat 200 ribu jadinya saya menggunakan uang sekolah saya uang sekolah saya habis karna buat bayar maxim tadi,0,1,0,0,0,0,0,0,0,0,1,kecewa maxim disekolah maxim sekolah saldo maxim pulang sekolah maxim saldo sampe tujuan uang udah ganti pembayaran saldo ribu uang sekolah uang sekolah habis karna bayar maxim,tidak puas
Irfan Rujani,1,2025-10-16 06:50:10,saya nginap di hotel pelangi banjarmasin mau order makan gak ada yg nerima,0,0,0,0,0,0,1,0,0,0,0,nginap hotel pelangi banjarmasin order makan gak yg nerima,netral
Fatimah,1,2025-10-16 06:34:19,driverrr nya jelekk banget berangkat naik grab dengan lokasi yg sama cuma 65k pas naik maxim awalnya 70k malah minta biaya tambahan jadi nya bayar 85k ayah ku sampe adu bacot ama driver nya trus juga klo di ajak ngobrol pas dijalan gk pernah di tangepin beda banget ama driver grap yg ramah ngeselin banget abis pulang capek trus adu bacot ama driver gilakk jelek benget pelayanannya driver rasa preman,0,1,1,0,1,1,0,0,1,0,1,driverrr nya jelekk banget berangkat grab lokasi yg k pas maxim k biaya tambahan nya bayar k ayah ku sampe adu bacot ama driver nya trus klo ajak ngobrol pas dijalan gk tangepin beda banget ama driver grap yg ramah ngeselin banget abis pulang capek trus adu bacot ama driver gilakk jelek benget pelayanannya driver preman,tidak puas
AZIZAH MAYANG,5,2025-10-16 05:57:52,aplikasi bagus,0,0,0,0,0,0,0,0,0,0,1,aplikasi bagus,puas
Gandi Alim,1,2025-10-16 05:40:55,petanya yg ada di maxim kacau mau kirim ke alamat selalu tidak tepat saya kecewa dengan maxim saya akan rubah bintang jika mapnya diperbaiki,0,0,0,0,0,0,0,0,0,0,1,petanya yg maxim kacau kirim alamat kecewa maxim rubah bintang mapnya diperbaiki,tidak puas
arfin arahim,1,2025-10-16 05:13:17,scam katanya dapet 200k,0,0,0,0,0,0,0,0,0,0,0,scam dapet k,netral
Rio Oktimas,5,2025-10-16 04:46:55,mantap,0,0,0,0,0,0,0,0,0,0,1,mantap,puas
Luh putu mutiara Dewi Mutiara dewi,1,2025-10-16 03:54:18,di php innnn ihhh dasarrrr,0,0,0,0,0,0,0,0,0,0,0,php innnn ihhh dasarrrr,netral
Pandi Putra jaya,5,2025-10-16 02:31:38,sangat membantu,0,0,0,0,0,0,0,0,0,0,0,membantu,netral
Fatih Rasendra,1,2025-10-16 02:29:54,goblo sistem nya gw mau daftar aja g masuk masuk kode otp anj,0,0,0,0,1,0,0,0,0,0,0,goblo sistem nya gw daftar aja g masuk masuk kode otp anj,netral
Andra Nur Syifa yoga Permana,3,2025-10-16 02:26:12,saya kasih bintang 3 aja karena harganya sekarang malah naik turunin harga maxim,0,0,0,0,1,0,0,0,0,0,0,kasih bintang aja harganya turunin harga maxim,netral
JONI HP,5,2025-10-16 02:10:58,top up kaspro gk masuk masuk,0,1,0,0,0,0,0,0,0,0,1,top up kaspro gk masuk masuk,netral
Tata Xvarzz,1,2025-10-16 01:53:09,apk gak bisa kirim kode,0,0,0,0,1,0,0,0,0,0,0,apk gak kirim kode,netral
Nyaho Sia,1,2025-10-16 01:31:36,semenjak mau bawa pulang orang sakit paska rawat inap di aplikasi maps banyak car maxim yg online tapi ga ada satupun yang mau nerima semenjak itu juga udh ga pernah order lagi beralih ke aplikasi hijau respon cepat efisien,0,0,0,1,0,0,1,1,1,0,0,semenjak bawa pulang orang sakit paska rawat inap aplikasi maps car maxim yg online ga satupun nerima semenjak udh ga order beralih aplikasi hijau respon cepat efisien,puas
09_ Deva Zaskia,4,2025-10-16 01:04:51,bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Victor Gaming,2,2025-10-16 00:35:42,lokasi tidak sesuai dengan yg di minta dan sulit menemukan lokasi yg pas karna map yg ada tidak sesuai,0,0,0,0,1,0,1,0,1,0,0,lokasi sesuai yg sulit menemukan lokasi yg pas karna map yg sesuai,netral
Sii Otet's,1,2025-10-16 00:33:20,akun tidak bisa di buka karena cuma salah order parah aplikasi lain pdahal ga gini,0,0,0,1,0,1,1,0,0,0,1,akun buka salah order parah aplikasi pdahal ga gini,tidak puas
