review,rating
"saya dapet driver yang bener bener gajelas, dia marahin saya karena saya lagi nuker uang 100rb , driver ini bener bener gasopan sama saya, dia ngedumel ke saya marahin terus pergi kabur, apa hak driver maxim ini marahin sayaa?? saya costumer SAYA BAYAR! TIDAK GRATIS, tpi bisa bisa mya si driver ini semacam saya numpang! saya dikatain gausa sekolah karena memang saya masih sekolah SMA, memang rata rata driver maxim yang saya temui itu memang agak kurang sreg dihati saya,maxim ini tu gimana????",1
"ga jelas, cs ga ramah",1
Kalau bisa dari kantor Maxim menyediakan persewaan motor listrik juga seperti ojek online lainnya,5
"Aku Suka Aplikasi maxim - ojek, transportasi by PT. SITO!",5
kok susah kali sih cari orderan di sini.... mau pesan kok ga ada yg terima,5
"Aku Aplikasi maxim - ojek, transportasi by PT. SITO!",5
ongkos murah dan aman di perjalanan,5
aplikasi bikin pusing susah nyari titik di maps,1
"maxim mobil delevery , tapi parkir persis didepan toko kita aja gak mau , ini maxim dibangka belitung pangkalpinang , bukannya bantu konsumen angkat barang ke mobil malah kita disuruh sendri angkatnya sangat tidak ramah",1
"saya sangat kecewa dengan Maxim, tadi disekolah Maxim datang ke sekolah bagi' saldo Maxim, saat saya pulang sekolah saya menggunakan Maxim dan menggunakan saldo yang tadi saya dapat, namun saat saya sampe tempat tujuan saya diminta uang, padahal saya udah ganti pembayaran menggunakan saldo yang tadi didapat 200 ribu, jadinya saya menggunakan uang sekolah saya, uang sekolah saya habis karna buat bayar Maxim tadi",1
saya nginap di hotel pelangi banjarmasin mau order makan gak ada yg nerima.,1
"DRIVERRR NYA JELEKK BANGET, berangkat naik grab dengan lokasi yg sama cuma 65k, pas naik maxim awalnya 70k malah minta biaya tambahan jadi nya bayar 85k, ayah ku sampe adu bacot ama driver nya, trus juga klo di ajak ngobrol pas dijalan gk pernah di tangepin, beda banget ama driver grap yg ramah, ngeselin banget abis pulang capek trus adu bacot ama driver, gilakk jelek benget pelayanannya, driver rasa preman",1
aplikasi bagus,5
petanya yg ada di maxim kacau. mau kirim ke alamat selalu tidak tepat. saya kecewa dengan maxim. saya akan rubah bintang jika mapnya diperbaiki,1
scam katanya dapet 200k,1
mantap💪👍👍,5
DI PHP INNNN IHHH DASARRRR,1
sangat membantu,5
goblo sistem nya gw mau daftar aja g masuk masuk kode otp anj,1
saya kasih bintang 3 aja karena harganya sekarang malah naik turunin harga Maxim,3
top up kaspro gk masuk masuk,5
apk gak bisa kirim kode,1
"semenjak mau bawa pulang orang sakit paska rawat inap, di aplikasi/maps banyak car Maxim yg online, tapi ga ada satupun yang mau nerima... semenjak itu juga udh ga pernah order lagi .. beralih ke aplikasi hijau... respon cepat & efisien...",1
bagus,4
lokasi tidak sesuai dengan yg di minta dan sulit menemukan lokasi yg pas karna map yg ada tidak sesuai,2
akun tidak bisa di buka karena cuma salah order. parah aplikasi lain pdahal ga gini,1
aplikasi kaspronya amburadul. . saya pake bayar kas pro tapi tidak masuk jadi driver minta bayar tunai. . lama baru kaspronya terpotong. jadi kita bayar dobel kaspro dan tunai. . mau hubungi driver tidak ada riwayat chat dengan driver.,1
"apk nyocot ribet, masukin kode otp lama ga masuk2 di notif, baru 2 hari ga pake udh kereset lagi jadi telat",1
Luar biasa,5
baik,5
kren,4
perfect,5
"mf ya ,tarif di aplikasi 80rb,murah sih,,tp begitu turun jd 140rb,,aduhh ,,,,cukup sekali aja pakai maxim di bandara jkt",1
map nya kurang lengkap,2
Harus banyakin promonya,5
mantaaap,5
ini,5
kenapa ngelag gabisa masuk nomer,1
sangat membantu,5
titik lokasi kadang ngr bug,2
"Tidak bisa digunakan, setiap saya mau order selalu diminta memasukkan nomor hp dan setelah saya masukkan terlihat tampilan kode dikirim ke nomor hp tersebut tetapi kode yang dimaksud tidak pernah masuk ke 'kotak pesan' di nomor Hp ku. Dan saat saya memilih opsi menerima kode dengan telpon, saat telpon masuk saya terima tidak terdengar suara apapun. Mohon dibantu ASAP.",1
driver banyak yang ngeselin ga jelas,1
tolong tingkatkan pelayanan admin saat mau login susah kali kode login nya aplikasi rame peminat tapi makin parah,1
"Problem susah banget ngisi kaspro gak masuk2,, sudah 10 jam inj gak masuk,, kendala sering spt ini,, tolong diperbaiki",1
"tolong diperbaiki lagi app nya. saya melakukan order makanan kemudian di layar app ngebug yang tadi nya sementara mencari penerima pesanan malah kembali ke layar untuk memesan makanan, pas kembali ke layar utama tidak ada yang menerima orderan, tapi tiba2 ada yang chat di WA dan katanya saya sudah double order.. uangku kurang buat bayar nya, mau tida mau harus minjem ke tmn... tolong upgrade jadi lebih baik",1
"Parah maps nya, apk tidak jelas",5
"demi kesel bgt sm pelayanan drivernya, maxim kl ngasih promo pastiin jg dong ojolnya g rugi. masa iya dia protes ngeluh jauh lah, terlalu murah lah tarifnya setidaknya kl bkin promo tu ya yg jelas kita cust makek promonya krna potongan referral masa kita yg diprotes? kita kan jg gbsa ngatur tarif. sumpah gedeg bgt udah sering kayak gini mending apus aja promonya. yg plg ngeselin tu kdg diakalin tarifnya pernah dr 19 jd 25😌ikhlas2 aja kl tip tp servicenya jelek dan krn ojol2nya bohongin kita.",2
aplikasinya bagus dan murah saya suka sekali!,5
aplikasi bodoh kode verifikasi nya udh 1jm ngk timbul' sebelumnya maap'sebesarnya dan perbaiki lagi aplikasinya,2
saya mengisi ewalet 50rb ga masuk,1
login tidak bisa otp tidak muncul,1
banyak penipuan di apl maxim orderan ga jelas semua,5
"maaf boleh saran, alamat kurang terperinci jadi agak susah nyarinya, bahkan diturunin belum sampe karena gak sasuai",3
waktu itu saya cari driver untuk anter barang. udah dapet. tp dicancel krn driver tidak punya e wallet katanya. ini beberapa kali terjadi. pengennya tunai. harunya tiap driver punya donk. kaya gojek atau grab kan mereka ga pernah nolak sekalipun kl pakai gopay atau ovo,2
"Pernah suka, sekarang kok malah pake bonus TIPU2.. Kalau memang ga benar2 ada niatan untuk kasih bonus dalam rupiah, ga usah bikin program tipuan.",1
good job,5
sekedar masukan aja untuk maps nya lebih di koordinat lagi. terus alamat juga kadang ngak ada di maps,4
maxim makin kesini ga jelas. gue login pake nomer lama gue ga bisa masuk masuk. dan ga bisa bisa ngirim kode otp nya. lama lama juga redup lu Maxim. makin jelek aja apk nya,1
"ga jelas gw udah topup untuk membayar non tunai TPI kok pas mau memesan makanan GK bisah pakek saldo Maxim aneh......sya kurang ngerti karna TDK ada pnjelasan atau tincihan dari apk Maksim apakh KLO di daerah tertentu fitur pembayaran nontunainya gak aktif?kayak gini kan jdi gak bisah makan, uangnya udah masuk saldo mau di tarik beli buat makanan jg gak bisah.....mndingan jalan sndiri beli ke warung byar qriss nyesel gw Maxim karma berlaku ya Maxim😡😡😡",1
suka menyuruh menambah duit buat mempercepat anjir klo gitu Mulu GK ada yg bakal mau dong siapa yg nolak duit hdehh hapus aja sistem ini,1
memuaskan,5
baik,5
moga taripnya selalu murah biar hrmat okos slm sehat sukses bersama amin,5
"Harga ny terjangkau,,cepat lagi orderan ny",5
mantap,5
"jangan terlalu buat banyak orderan fiktif kasian para driver sudah berjuang harus bisa jaga etika ke para driver, tolong untuk para user penumpang jangan asal buat orderan fiktif kalau mau cari uang yang amanah jangan buat orderan fiktif jaga agama anda dan ingat ketika di alam kubur akan di tagih sama malaikat. camkan ya!!!",5
capek dan elok,5
"abang nya genit banget sama penumpang cewek, tolong SOP nya tingkatkan lagii maxim",1
maxim lagi kenapa ya minta kode otp ga bisa bisa udah mah tadi eror lagi pesen malah stag ga jalan jalan abangnya gimna nih kode otpnya donk,5
aplikasi tidak bisa digunakan untuk membuat order,1
"Saya disenggol sama mobil maxim karna pengemudinya ga hati hati dan waktu saya dan temen saya menunggu jemputan di depan sekolah smk 1 batam, kami di cat calling sama driver motor maxim",1
"kami para driver di beri upah kecil? bayangin orderan lokasinya jauh tetep di ambil upahnya kecil, tolong di naiki saldo minim nya jarak peling deket",2
good,5
"saldo akun , nd tidak bisa di gunakan, beking tacolo orang",1
Sangat baik,5
"plis bisa ga dgedein atau dibedain tanda driver di maps nya, kurang keliatan kak",3
cool,5
tk bise daftr gedok,1
"Mantap, semoga Maxim Ternate semakin maju dan jaya",5
orderan fiktif banyak merajalela mohon diperbaiki pengguna diper jelas kontak yg bisa dihubungi kebanyakan orderan tidak bisa dihubungi nomor TLP tidak di cantumkan/ tidak jelas,2
baik,5
mantap murah,5
"Untuk mobil TERLALU MAHAL kalau lagi hujan 🙄. Dan TOLONG sediakan FITUR BLOKIR untuk memblokir driver yang kita tidak sukai, karena jujur saya merasa tidak nyaman dengan pengemudi motor yang terlalu banyak bertanya seperti wartawan.",3
"tolong Maxim pas ngasih titik lokasi tuh yang bener. hari ini saya nunggu 20 menit gara"" driver muter muter gak jelas. merugikan banget. gak cuma sekali, tapi sering. tolong di perbaiki dan buat driver yg gak tau jalan minimal buka google map, jangan berpatok sama map di maxim yang gak jelas.",1
good driver and good service,5
"males, saya bertaun taun pake nya kirain ada kemajuan, malah ngga ada, driver ga maju maju, kalau sekiranya lagi dirumah jangan di on dong. org mau kerja jadi telat.",3
masukan kenapa sih setiap order Maxim kendaraan gak ada yang jelas motor pada busuk driver bau,1
sangat puas,5
good,5
"overall bagus, tapi woi notifnya bikin jantungan",2
ok,5
"tau gak karna apa gue kasih bintang 1,karna kode otp ny eror gak pernah mau masuk,ini apk gak cocok,mending pakek grab",1
jujur banget kecewa banget dari jawaban cs nya dan juga sikap driver yang melebihkan argo sampai 30%,1
kepesen sama ade saya gada fitur batak kocak harusnya adalah biar orang orang juga kalo kepencet bisa dibatalin masa pesen harus dikirim mutlak,1
ok,5
"aplikasi yang ko delay,mintak kode verifikasi gak masuk2,bikin susah aja, padahal nomor udh bener",1
sangat bgss,5
ok,4
ok,5
"Ini aplikasi kenapa ya, saya udah selesai order sudah end trip kenapa order otomatis lagi sendiri ya. Padahal HP dalam keadaan lock.",1
deriper online harga nya padahal 29.300 jadi 48.000,1
ok,5
kenapa sih maxim sering keluar nomor HP terus menerus padahal udah daftar tolong lah di perbarui lg,1
aplikasi kejam sama driver numpang iklan gede gedein gk dikasih tip stiker untung dikeruk semua sama maxim driver jadi mesin atm,1
murah dan tepat guna sesuai dengan transportasi yang dibutuhkan masyarakat,5
mohon maaf saya kasi bintang 1 soalnya lama dapet driver nya perbaiki lagi ya pelayanannyaaa,1
"maxim driver nya ga jelas dari bandara soetta udh bayar online sama udh bayar tol, masa bayar 40 ribu lagi biaya akomodasi driver konyol, abis itu di hapus riwayat nya baru nih drivernya",2
membantu,5
"1.klo order langsung dpt driver tapi lama bgt jemputnya,ga gerak di map.20-30 menit nunggu.posisi di map ga gerak,di chat ga ada respon.akhirnya cancel 2.hampir semua driver minta cash pdhl sya udah pake kaspro.apakah sistim kaspro merugikan driver?",1
soalnya Buka aplikasi Lamo,1
2x sya order maxim bike tidak terlihat rute nya udh smpe mana.. kdang sya khawatir klo psesnin buat ank takut dibawa kabur ank sya. harus nya klo pas ambil orderan jngan dimatikan rute nya. supaya terpantau di HP,3
kirim kode otp via sms gagal terus....3 kali gagal dah ga bisa....aplikasi apaan begini ga da opsi laen,1
"otp tolong di perbaiki, makin kesini makin lama otp",2
map nya gajelas,2
A Mama 2 (Anda),1
"mau aktivasi akun tapi ga dikirim kodenya lewat sms, pake opsi telepon baru diangkat udah dimatiin. terus nyoba bbrp kali katanya waktu pengiriman kode sudah habis",1
cs tidak tanggap dalam menangi komplain custamer laporan komplain belum selesai tapi form laporan sudah di tutup. pelayanan jasa yang sangat tidak memuaskan👎👎👎,1
saya sangat kecewa terhadap driver yang selalu memilih jalur tidak ingin kena macet dan meminta tambahan untuk argo seharusnya itu sudah menjadi resiko mencari nafkah di jalan dan jangan pilih2 dengan alasan tidak mau cancel orderan dengan alasan masih membawa penumpang dengan estimasi kalau mau nunggu 30mnt,1
Ramah,5
bagus,5
baguss maxim,5
setelah di update terbaru tidak bisa berhubungan dengan WhatsApp map.. tapi logo gojek ada dan bisa terhubung.. sedangkan Maxim hilang Mohon dikembalikan seperti dl,5
mntap,5
Maxim membantu kelancaran transpoortasi,5
gak bisa login keterangan kesalahan coba lagi aneh gimana mo mesen,1
Bagus,5
KENAPA AKUNKU GAK BISA PAKAI ATAU MASUKIN KODE PROMO?? PADAHAL PENGGUNA BARU. TOLONG DI FIX. JANGAN PILIH KASIH WOI!!!,1
"Sopir anjink maling henset saya tinggal, malah di tlpn2 malah di blok",5
ribet.kt ny buat buru2.tpi nyata ny mlh ribet.psn gojeg d mintai kode trs.dh gtu kode ny mlh gk d krm2.gk nongol2.mlh bikin lama,1
pungut biaya secara paksa jatohnya ngemis menjijikan kita manusia tau diri pasti ngasih lebih kalau nunggu lama,1
baik,4
aplikasi dongo,1
order fiktip harap dihapus sbb itu membuat sampah diaplikasi & apakah itu disengaja pihak ordal??,4
tidak bisa login walau udh instal ulang app dan restart tetap tidak bisa,1
okey,5
aku g tau sistemnya gimana ak ngisi kaspro di mbangking sukses tp di apk nya g ada sama sekali saldonya,1
"Babi kali driver mobil nya dipesan lama kali,",1
mantap dan murah,5
bagus dan sangat murah,4
aplikasi gajelas kode pun gamau kekirim gimana makenya,1
mantap aplikasi nya,5
driver nya yang car banyak yang arogan,1
aplikasi Maxim bagus banget,5
"di tawarin instal maxim dapet 200k tapi berupa bonus belum bisa dipake, auto uninstal lagi aja deh",2
"sompret masih banyak titik fake. banyak cs yg salah naruh titik penjemputan, nyusahin driver lol.",1
kenapa saya sekarang tidak bisa akses aplikasi maxim? bila login selalu dalam gangguan. mohon bantuannya helpdesk 100x saya coba tetap nggak bisa.,1
Bagus cepat sampah dan tidak ramah sopirnya,5
ketepatan waktu penjemputan perlu di tingkatkan,5
"pantes kalau maxim car sepi dibandingkan aplikasi lainnya, attitude drivernya tidak bagus.",1
asu maxim ini ribet sekali daftarnya,1
kok nggak bisa membatalkan pesanannya padahal belum dapat driver nya malah cmn ingin mengedit pesanan,2
"buruk, setengah jam minta kode otp ga masuk"" parah",1
mencari penjemput lama,1
ok,5
Sangat bagus,5
"untuk harga emang agak miring dari si G, tapi gw mau bahas soal nontunai nya bobrok bgt, ribet, udah top up kaspro berkalikali malah ga masuk di akun ku, mana top up nya ribet lg pake adm segala, malesin bgt fix uninstall",1
ribet apl nya,1
ok,5
b;been a;;bb;;bbbbb j h,1
"jelek bangetttt. sebenernya awal awalnya bagus, tapi sempat beberapa kali lama banget dapet ojeknya. trus sekarang hari Minggu, jam 8.30 aku cari mobil Maxim, ga dapet dapet juga... katanya tunggu 3-4 menit, apaan??? nyatanya sampe jam 8.45 kaga dapet dapet jugaa, sampe aku ulangi 3 kali itu. keren banget loh jeleknya luar biasa minta ampun. dan lagi pdhl udah dikasih percepat 3rb juga g ngaruhhh. jelek....",1
terbaik,5
"apknya bagus,dari harga sesuai..tetapi didalam manajemen aplikasi saat ingin mengirim kode ke nomor malah tidak bisa dikirim..tolong diperbaiki lagi",2
sangat baik,5
Manatap,5
baik,5
siap numpak,5
"order makanan sangat sulit, mending dihapus aja lah maxim ini. kasih order prioritas donk. biar ga bisa menolak orderan. drivernya sangat sulit",1
perbaiki peta alamat yg saya tutu tidak keluar,2
sangat sulit menemukan pengemudi saat hendak memesan makanan udh nunggu lama gk ada yg konfirmasi keburu laper kecewa deh ✌️,1
ᴏᴋ,5
kenapa maxim di food saya tidak bisa dibuka y,5
bagus,5
sangat oke dan murah,5
"Maxim bengkulu , bnyak yang idak jujur , d sruh bli d toko itu ngaku ny tutup pdhal masih buka",1
"sebenarnya bagus tapi TERLALU BANYAK DRIVER MENOLAK PAKAI KASPRO , SAAT² GENTING SEDANG TIDAK ADA UANG CASH. ! TLONG DIPERBAIKI",2
susah banget dapat code verif nya,1
"tolong kepada pelanggan Maxim komitmen dong order transportasi Maxim, Maxim orderannya sepih terus kasian driver Maxim bahkan bisa berhari hari gadapat orderan",5
nggak bisa login,1
tidak bisa mendaftar,1
aplikasi jelek. topup via bank BCA ga masuk-masuk uangnya udh lama bgt,1
sebenarnya oke aja gak ribet tapi pas order makanan lama cari driver nya terus gak bisa di batalain juga harus d ubah teruss pliss lah perbaikin,3
"maxim keren, murah, cepat, selamanya tetap promo dan drivernya good.",5
nyaman dan cpt sampai,5
"Murah, aman, nyaman serta ramah2 dan tertib berlalulintas drivernya. Betul2 mitra perjalanan bertanggungjawab. terimakasih",5
"MAXIM DI TOPUP IN KASPRO MALAH ERROR, DUITKU ILANG NJING!!",1
tolong kalo ada yg pesan makan siapkan uang talanganny supaya tida ribet ba qris,3
terlalu lama mancari pelaksana,2
berkli-kli saya minta kode OTP nggk dikirim-kirm.,1
dasar! pencuri uang orang!,1
TOLONG BETULIN DULU PETA NYA MAPS MAPS PETA MAPS,5
good,5
mantap,5
best,5
tlong dong tarif ny yg normal dikit lh masa si tarifnya melonjak jauh bnget dri yg kmrn kan jalan dipatal gak dijadiin satu arah lgi tp tarifnya gk notak bnget deh mana lama nunggu draiver ny ditambah tarifnya naik jga,1
mantap 👍🏼,5
susah daftar,1
Sebetulmya bagus aja... Tapi drivernya pada gajelas.... Waktu tunggu jadi lama banget... Telat teruuss saya kerja drivernya juga pada gimana siiii ga bisa baca map apa.... aneh banget....,1
"topup 29k, eh tbtb yg masuk cuman 26.100. sisa uangnya kemana tuh?",3
"mengapa harga selalu naik, sedangkan aplikasi ini kami sudah pakai lebih dari 2 tahun",5
"JANGAN MAU PAKE APK INI !! buru"" mau otw ngisi saldo e-wallet maxim karna ga ada cash eh udah beberapa jam ga masuk"" tuh duit padahal udah sukses ke tf mana lumayan gede lagi gua topup nya karna biar sekalian,",1
tidak bisa login,2
"susah banget cari driver nyaa,,entah karna murah ntah apa,,",1
"sangat di sayank kan kita pesan mexim tapi selalu di cansel alasa tarif tidak sesuai, tolong supaya pihak aplikasi dapat mengatasi hal tersebut sebagai pelanggan kami kecewa.",1
bagus alhamdulillah,5
"kenapa ya, di hp saya app maxim gak bisa login, sampe daftar pake 2 nomor hp berbeda tetap gak bisa login, apakah ada yg tau kenapa? saya pake hp samsung",3
bagus,5
"aplikasi tidak dapat dibuka!, mohon di perbaiki",1
bagus,5
Bagus,5
bagus aplikasinya membantu,5
gak jelas kode veripikasinya,1
bismillah ijin bergabung menjadi mitra keluarga driver maxim,5
"ini maxim kenapa ya, di apk tertulis driver hampir sampai, padahal kenyataan nya driver belum jalan. hal seperti ini tolong lebih diperhatikan lagi ya, karena ga semua orang dalam kondisi santai. terus juga pernah dapet driver pas udah sampai tempat tujuan , beliau minta di cancel aja dari apk saya karena katanya apk driver ga bisa dibuka, gamasuk akal kan?",1
bosan lama di tunggu,1
saya udah isi saldo tapi gk masuk ke akun maxim ngadunya kemana ini ada bukti tranfernya,1
"mau login aja GK bisa, kode nya GK dikirim kirim, susah login",2
aplikasi mudah digunakan nyMan dan murah buat perjalanan,5
"apalah mana voucher gratis yang dijanjikan waktu pas ke sekolahnya? yang lain bisa masa gw kagak, apalah yang dikasih yang baru semua, giliran gw yang udah bertahun tahun nggak dapet, mana nih? nggak adil nih maxim, kecewa gw ama nih aplikasi padahal gw juga siswa, apalah penipuan total nggak berguna",1
Map nya nga lengkap suka ngaco gila baru urget² nya top up saldo kaspro gila setress lama banget hampir sejam baru masuk saldonya taikkk ini apk nya setres,1
